stringency_index,new_deaths,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,day,month,year,new_cases_classes
0.0,0.0004415011037527594,0.9999999999999999,0.7529215163838638,0.005296296296296313,1.0,1.0,0.9613567303562054,0.06666666666666668,0.9090909090909091,0.0,0.0
0.0,0.0002207505518763797,0.996524317623897,0.7495793016407236,0.005296296296296313,0.9959696806855786,0.9977804681194511,0.94999761363094,0.06666666666666668,0.9999999999999999,0.0,0.0
0.08858509911141482,0.0004415011037527594,0.9895729528716913,0.7479081942691534,0.005296296296296313,0.9858585287213282,0.9977804681194511,0.9386384969056748,0.4,0.1818181818181818,0.0,0.0
0.12658920027341075,0.0002207505518763797,0.9704810052742872,0.7328799139905576,0.026444444444444465,0.9595978165568346,0.9800552554789843,0.9090952479437453,0.43333333333333335,0.1818181818181818,0.0,0.0
0.16459330143540668,0.0002207505518763797,0.9479133753007801,0.7161922124059272,0.04233333333333335,0.9394037955708913,0.9623145216365555,0.8999952272618802,0.4666666666666667,0.1818181818181818,0.0,0.0
0.2911825017088175,0.0002207505518763797,0.9357606397200009,0.7095077829196467,0.04233333333333335,0.9394037955708913,0.9512168622338113,0.9181793594985443,0.5,0.1818181818181818,0.0,0.0
0.2911825017088175,0.0004415011037527594,0.9496512164888316,0.7479081942691534,0.0,0.9656645077353848,0.955655925994909,1.0,0.5333333333333333,0.1818181818181818,0.0,0.0
0.31647300068352696,0.0002207505518763797,0.9374984809080523,0.7512504090122938,0.015851851851851867,0.9474785756710129,0.9467933196746756,0.9931749844886011,0.5666666666666667,0.1818181818181818,0.0,0.0
0.44935064935064933,0.0004415011037527594,0.9149308509345453,0.7512504090122938,0.04233333333333335,0.9191956331136691,0.926833053951698,0.9681817458676043,0.6,0.1818181818181818,0.0,0.0
0.6012303485987696,0.0004415011037527594,0.8854118562088324,0.7512504090122938,0.07407407407407408,0.8868682297706254,0.8980101819084869,0.9340884865647422,0.6333333333333333,0.1818181818181818,0.0,0.0
0.6772385509227614,0.0,0.8454779670903919,0.7495793016407236,0.09522222222222225,0.8525327375060101,0.8603091823430806,0.906820242773279,0.6666666666666666,0.1818181818181818,0.0,0.0
1.0,0.0008830022075055188,0.7291641348467539,0.6243747954938531,0.19048148148148147,0.7252594959979637,0.7450176941702364,0.7909063429689613,0.7,0.1818181818181818,0.0,0.0
0.8164046479835954,0.0008830022075055188,0.6492963566098727,0.5759594259804609,0.2804074074074074,0.6323217467545323,0.6696312162413857,0.686367469016975,0.7333333333333333,0.1818181818181818,0.0,0.0
0.8164046479835954,0.0002207505518763797,0.5503487835111682,0.49582807460384243,0.3968148148148148,0.5212122069180077,0.5765040044701061,0.5568194473169257,0.7666666666666667,0.1818181818181818,0.0,0.0
1.0,0.0006622516556291391,0.4374984809080523,0.38731127004160243,0.5343703703703705,0.3939389654099613,0.4722791332960824,0.4113622985506785,0.8,0.1818181818181818,0.0,0.0
1.0,0.001986754966887417,0.3333252315096127,0.27879446547936243,0.6666666666666667,0.2747546454733151,0.37472837896566713,0.2772642665096965,0.8333333333333334,0.1818181818181818,0.0,0.0
1.0,0.0002207505518763797,0.23784118805143029,0.17028934698265796,0.7936296296296297,0.16363096416551182,0.28824424163407214,0.1522662551505798,0.8666666666666667,0.1818181818181818,0.0,0.0
1.0,0.0011037527593818985,0.16146124492623282,0.06844528584116305,0.9047407407407408,0.06666289560765903,0.21951635934686786,0.043177370857661046,0.9,0.1818181818181818,0.0,0.0
1.0,0.0008830022075055188,0.16318693337870338,0.0868157808628991,0.910037037037037,0.06464066521480893,0.22172037002545475,0.047727381198593655,0.9333333333333333,0.1818181818181818,0.0,0.0
1.0,0.0013245033112582781,0.12500303818389513,0.02671434581405141,0.962962962962963,0.020208162457222123,0.18625442354255917,0.0068091063843325195,0.9666666666666667,0.1818181818181818,0.0,0.0
1.0,0.0008830022075055188,0.1128503026031159,0.0016711073715701685,0.9841111111111112,0.0020222303928500995,0.17295275346122807,0.0,0.9999999999999999,0.1818181818181818,0.0,0.0
1.0,0.005298013245033113,0.11457599105558647,0.0016711073715701685,0.9788148148148148,0.0020222303928500995,0.17515676413981496,0.009084111554798824,0.1,0.0,0.0,0.0
1.0,0.0033112582781456954,0.11457599105558647,0.0,0.9788148148148148,0.0,0.17515676413981496,0.011359116725265128,0.1,0.09090909090909091,0.0,0.0
1.0,0.0002207505518763797,0.1163138322436379,0.003342214743140337,0.9735555555555555,0.0,0.17737629602036376,0.01818413223666404,0.1,0.1818181818181818,0.0,0.0
1.0,0.0033112582781456954,0.11805167343168932,0.005013322114710506,0.9682592592592594,0.0,0.17959582790091255,0.02954324896192939,0.1,0.2727272727272727,0.0,0.0
1.0,0.0030905077262693157,0.11805167343168932,0.005013322114710506,0.962962962962963,0.0,0.18181535978146146,0.03862736051672844,0.1,0.36363636363636365,0.0,0.0
1.0,0.008388520971302429,0.11805167343168932,0.005013322114710506,0.962962962962963,0.0020222303928500995,0.18403489166201026,0.03862736051672844,0.1,0.4545454545454545,0.0,1.0
1.0,0.0033112582781456954,0.1128503026031159,0.021701023699340904,0.9576666666666667,0.014141471278671824,0.19289749798224365,0.04090236568719474,0.1,0.5454545454545454,0.0,0.0
1.0,0.0064017660044150115,0.10937462022701305,0.04174262609264723,0.9576666666666667,0.02423848177164345,0.20177562550443906,0.043177370857661046,0.1,0.6363636363636364,0.0,0.0
1.0,0.010816777041942605,0.10589893785091009,0.060101435048847796,0.9576666666666667,0.036357722657465286,0.20841869994412365,0.04545237602812735,0.1,0.7272727272727273,0.0,0.0
